RESTAURANT_ID,RESTAURANT_NAME,CUISINE_PRIMARY,CUISINE_SECONDARY,CITY,AREA,LAT,LNG,AVG_RATING,COMMISSION_RATE,IS_ACTIVE,ONBOARDED_AT
22,Mora and Sons,Chinese,Italian,Bengaluru,East,-18.0058275,130.211283,4.31,0.159,N,2023-03-29 21:43:00
23,Wheeler PLC,Fast Food,South Indian,Chennai,North,88.1154665,-128.804611,3.98,0.282,0,2024-02-13 03:14:00
24,Lewis-Dawson,Italian,Chinese,Mumbai,South,-18.5837705,-139.145533,4.03,0.24,N,2024-08-25 17:46:00
25,Griffin-James,South Indian,South Indian,Delhi,East,51.5986725,29.295392,4.73,0.212,TRUE,2024-05-27 15:13:00
26,"Davidson, Smith and Powell",North Indian,Italian,Bengaluru,West,30.2722455,-109.843360,3.6,0.16,FALSE,2023-02-15 21:26:00
27,Taylor-Ortega,Healthy,Italian,Pune,South,-5.694570,149.988213,4.52,0.156,1,2023-02-06 15:31:00
28,Howard LLC,Chinese,Italian,Hyderabad,West,-72.472751,81.991656,3.37,0.26,TRUE,2024-06-08 06:41:00
29,"Aguirre, Mcdonald and Johnson",Chinese,Italian,Bengaluru,North,-42.234199,70.801812,3.41,0.215,FALSE,2023-12-03 22:31:00
30,Rogers-Hall,Chinese,Fast Food,Delhi,North,52.6293535,-122.235473,,0.222,Y,2024-06-10 01:58:00
31,"Wallace, Turner and Henderson",Fast Food,Healthy,Hyderabad,West,68.0396265,12.695424,3.02,0.187,N,2024-11-10 13:18:00
32,Jackson-Young,Italian,Bakery,Delhi,West,0.3334165,-117.862829,3.44,0.199,N,2024-10-01 17:09:00
33,Jensen-Jones,Fast Food,Fast Food,Delhi,West,-47.0084095,107.287685,4.71,0.285,1,2024-08-24 07:21:00
34,Webb-Mckay,North Indian,Italian,Bengaluru,South,83.445855,91.818505,3.36,0.215,TRUE,2024-12-31 11:40:00
35,Jordan Ltd,North Indian,Bakery,Mumbai,South,22.894324,-6.125147,3.76,0.174,1,2024-10-26 01:17:00
36,"Waters, Perkins and Gilmore",Italian,Italian,Mumbai,North,65.725285,-55.036693,4.09,0.183,,2024-09-06 05:38:00
37,Knight-Solomon,Chinese,North Indian,Mumbai,North,19.2105315,-152.552455,3.64,0.154,Y,2024-09-03 21:56:00
38,Everett-Carney,Healthy,Healthy,Hyderabad,Central,52.875819,-93.473887,3.21,0.271,FALSE,2024-11-30 15:48:00
39,Campbell Ltd,Healthy,Bakery,Mumbai,West,-48.4193385,150.789602,,0.204,0,2023-04-06 19:03:00
40,"Smith, Davies and Williams",North Indian,Bakery,Delhi,West,-13.3420375,21.963090,3.01,0.171,0,2023-02-09 23:38:00
41,Thomas-Martinez,Chinese,Fast Food,Pune,Central,-43.903585,-23.465101,4.68,0.267,1,2023-02-03 19:20:00
42,Owens-Peterson,Chinese,Fast Food,Mumbai,South,81.4998745,-81.759153,4.64,0.256,Y,2023-08-11 17:37:00
43,"Bradley, Osborn and Levine",Italian,South Indian,Delhi,West,55.484473,16.612900,3.8,0.272,,2023-06-03 09:14:00
44,Bailey-Nguyen,Fast Food,Healthy,Chennai,Central,0.507232,52.409663,3.59,0.206,0,2023-03-28 18:17:00
45,Mcdonald-Norton,Healthy,Fast Food,Mumbai,North,55.5062005,40.059717,3.87,0.215,0,2023-10-09 04:29:00
46,"Gallagher, Nelson and Smith",Chinese,South Indian,Hyderabad,South,83.6863855,-5.873197,3.64,0.205,,2024-04-23 23:24:00
47,Palmer-Parker,Bakery,North Indian,Pune,South,-10.2637765,58.873611,4.39,0.286,TRUE,2024-08-28 01:24:00
48,Wilson-Yang,Italian,Bakery,Mumbai,West,-17.3980685,-36.087778,3.1,0.199,,2023-11-07 08:56:00
49,Vasquez-Gonzales,Healthy,Chinese,Chennai,Central,36.583448,90.348912,3.9,0.274,TRUE,2023-10-29 17:29:00
50,"Lynn, Raymond and Hall",Healthy,Chinese,Hyderabad,Central,-30.3178535,64.276445,3.51,0.227,TRUE,2023-05-20 22:20:00
51,"Webster, Hunt and Nelson",South Indian,Chinese,Delhi,Central,36.4313605,25.837920,3.52,0.217,1,2024-02-27 20:19:00
52,Brewer-Everett,Healthy,Healthy,Delhi,North,85.687168,-126.383293,3.62,0.205,TRUE,2023-12-07 17:21:00
53,"Hutchinson, Anderson and Ferguson",Bakery,South Indian,Hyderabad,North,77.8831595,-81.128730,3.14,0.217,FALSE,2023-12-04 10:14:00
54,Schmitt and Sons,Italian,Chinese,Pune,South,44.009408,119.656868,4.38,0.236,N,2023-07-04 12:37:00
55,Woods LLC,Fast Food,Italian,Delhi,North,-59.209535,-92.072475,4.58,0.278,0,2024-08-23 08:28:00
56,"Robinson, Winters and Bean",Italian,North Indian,Pune,South,86.583933,-126.947345,4.07,0.281,1,2024-01-08 20:28:00
57,White and Sons,Bakery,Italian,Delhi,East,12.027382,-82.273029,3.99,0.284,TRUE,2023-04-19 14:53:00
58,Roberts-Shaw,Healthy,Italian,Pune,East,6.935011,57.124458,3.24,0.168,Y,2023-12-04 12:25:00
59,"Holloway, Hall and Brown",Healthy,Italian,Hyderabad,East,-55.2415325,101.210223,3.4,0.217,0,2024-10-01 00:42:00
60,"Turner, Stephens and Sanchez",South Indian,Italian,Pune,North,-87.1463975,31.230670,3.54,0.252,FALSE,2024-02-11 12:18:00
61,"Zimmerman, Murray and Jones",Chinese,North Indian,Mumbai,North,43.6470645,16.267669,4.45,0.191,FALSE,2024-05-23 21:44:00
62,"Watson, Mccall and Reid",Chinese,Fast Food,Bengaluru,North,3.4710605,79.862693,3.1,0.269,Y,2023-12-28 12:08:00
63,Chung Group,Italian,Healthy,Hyderabad,North,-52.500672,23.903725,4.73,0.294,Y,2024-03-10 19:03:00
64,Guzman Ltd,Italian,Bakery,Chennai,East,-59.399732,72.460201,3.39,0.212,TRUE,2023-02-25 19:07:00
65,Perez-Ward,Bakery,Fast Food,Hyderabad,Central,-38.1563255,-139.004588,,0.154,FALSE,2024-03-03 01:44:00
66,Brown-Moon,Chinese,Bakery,Delhi,East,22.720086,148.991025,3.36,0.234,Y,2023-06-12 03:11:00
67,Schwartz-Adams,South Indian,Italian,Chennai,West,69.643221,173.201027,4.29,0.208,0,2023-02-17 21:01:00
68,"Mitchell, Miller and Henderson",Bakery,Italian,Chennai,Central,64.3196275,61.226106,4.74,0.229,TRUE,2024-06-14 17:16:00
69,"Lowe, Phillips and Avila",North Indian,Chinese,Hyderabad,South,34.0933825,166.264062,3.63,0.269,1,2024-07-19 06:43:00
70,"Boyer, Webster and Garrison",South Indian,South Indian,Hyderabad,Central,27.6598315,156.487879,3.14,0.174,FALSE,2023-10-19 01:39:00
71,White-Jones,Bakery,South Indian,Bengaluru,North,-36.162643,174.082236,4.1,0.291,TRUE,2024-03-19 08:17:00
72,Stewart-Wade,Bakery,Bakery,Pune,North,50.395799,-83.693717,4.06,0.232,1,2024-10-13 15:16:00
73,Garrison Ltd,Fast Food,Fast Food,Hyderabad,West,3.7877465,9.397448,3.31,0.182,1,2023-11-01 09:40:00
74,Mack PLC,Healthy,Italian,Pune,East,-26.9562495,135.816484,3.94,0.211,N,2023-10-07 04:36:00
75,"Murphy, Benjamin and Olson",Bakery,North Indian,Chennai,North,18.6278025,110.089582,3.01,0.194,,2024-02-19 14:50:00
76,"Simon, Meyer and Fischer",Italian,Chinese,Delhi,South,15.451624,-37.910651,3.87,0.277,FALSE,2023-09-21 15:48:00
77,Flores Inc,South Indian,Healthy,Chennai,East,-75.550518,-169.704460,4.01,0.24,FALSE,2024-03-20 13:52:00
78,Singleton Ltd,Fast Food,North Indian,Mumbai,West,21.249714,127.371093,3.8,0.221,Y,2023-11-06 09:18:00
79,Lewis Group,Italian,Bakery,Hyderabad,Central,47.9355525,139.220417,4.02,0.196,,2023-09-21 13:06:00
80,Glenn Ltd,Bakery,Chinese,Hyderabad,North,3.101090,-6.216079,3.39,0.164,,2023-12-01 11:16:00
81,Ross Group,Fast Food,Chinese,Pune,Central,11.1734015,112.893630,3.73,0.291,0,2024-10-03 12:55:00
82,"Macdonald, Washington and Barton",Healthy,Italian,Hyderabad,South,73.4613215,-52.536418,4.37,0.265,,2024-08-26 13:15:00
83,Whitaker-Baker,North Indian,North Indian,Pune,West,-25.830924,-159.337632,3.75,0.177,,2023-05-23 19:40:00
84,Berry-Potts,Bakery,South Indian,Mumbai,South,41.389820,84.314136,3.44,0.208,TRUE,2024-05-17 04:41:00
85,"Poole, Hardy and Reyes",South Indian,Italian,Mumbai,West,13.757137,-54.356144,4.63,0.266,0,2023-02-24 13:12:00
86,Franklin-Shelton,Italian,Chinese,Chennai,West,-52.7602235,139.411674,4.28,0.295,N,2024-05-22 17:06:00
87,"Russo, Fleming and Singleton",Chinese,Fast Food,Mumbai,East,48.5876905,159.321893,3.09,0.253,Y,2023-11-30 23:03:00
88,Vega Ltd,Healthy,Chinese,Pune,East,-32.671888,100.721986,4.19,0.225,TRUE,2024-07-29 23:06:00
89,Mays-Gates,Healthy,Bakery,Bengaluru,North,5.015232,-135.482243,3.1,0.287,1,2024-10-14 16:20:00
90,"Chen, Li and Tucker",Chinese,South Indian,Chennai,East,64.605668,83.571543,3.76,0.287,,2023-06-19 15:56:00
91,"Baker, Reynolds and Martin",Chinese,South Indian,Bengaluru,South,-51.7047405,-44.989808,3.66,0.27,N,2023-07-01 01:26:00
92,"Martin, Barajas and Chandler",Fast Food,Italian,Bengaluru,East,-47.734909,172.382433,3.53,0.188,TRUE,2023-04-13 12:35:00
93,Burns Inc,Fast Food,North Indian,Mumbai,West,-36.2981065,-14.109015,3.09,0.296,TRUE,2023-12-22 22:53:00
94,"Martinez, Roy and Olson",Bakery,North Indian,Chennai,North,8.191296,150.594318,3.04,0.184,Y,2024-07-14 10:54:00
95,Eaton Inc,South Indian,Healthy,Bengaluru,North,63.8874565,-38.072309,3.98,0.256,0,2024-05-27 16:14:00
96,Shannon-Hall,Healthy,Italian,Pune,West,-46.3491365,-60.001524,3.74,0.254,0,2023-02-18 09:31:00
97,Tucker Inc,Italian,North Indian,Mumbai,West,87.3053665,-84.637202,3.37,0.242,1,2023-03-21 16:45:00
98,"Holland, Hill and Duncan",North Indian,Fast Food,Bengaluru,South,88.6869085,90.135945,3.07,0.202,,2024-11-01 10:05:00
99,Garcia-Mcpherson,Fast Food,North Indian,Hyderabad,South,23.6356485,-173.755057,4.5,0.277,,2024-04-29 00:38:00
100,Hall Group,North Indian,North Indian,Chennai,South,-30.0128535,112.636069,3.32,0.182,N,2024-05-30 06:36:00
101,Myers Group,Italian,Italian,Bengaluru,South,3.524141,-153.662502,3.56,0.169,TRUE,2023-02-11 14:36:00
102,"West, Smith and Smith",North Indian,Italian,Bengaluru,West,-51.804766,34.017262,3.02,0.238,0,2023-10-22 11:34:00
103,"Taylor, Robinson and Hatfield",South Indian,Healthy,Mumbai,North,-41.152006,-90.294360,4.48,0.157,N,2023-09-09 02:49:00
104,Williams-Campbell,North Indian,South Indian,Hyderabad,East,-50.2712885,49.695384,3.23,0.214,FALSE,2023-12-26 13:35:00
105,"Olson, Moore and Lewis",Italian,Chinese,Bengaluru,South,-88.8259845,-115.971674,3.32,0.227,1,2024-03-04 04:58:00
106,"Gardner, Campbell and Ward",Italian,Italian,Delhi,North,49.2850565,-18.870860,3.82,0.284,0,2024-11-21 08:15:00
107,Delgado-Perkins,South Indian,Italian,Pune,South,33.736500,-99.637174,4.13,0.167,1,2023-01-08 12:09:00
108,Hood Inc,Fast Food,Italian,Chennai,Central,82.673909,9.097463,4.52,0.214,N,2023-01-03 10:53:00
109,Smith Inc,North Indian,Bakery,Pune,West,41.7658775,14.062452,4.72,0.164,0,2024-01-28 15:29:00
110,"Reed, Garcia and Jenkins",Chinese,Healthy,Chennai,North,-2.780795,2.921084,4.08,0.236,0,2023-08-24 23:45:00
111,Daniel-Richardson,Fast Food,Chinese,Mumbai,West,-34.131158,-64.500946,3.03,0.255,Y,2023-03-25 14:17:00
112,"Parks, Higgins and King",Fast Food,Chinese,Delhi,North,-33.1055435,59.220731,3.85,0.172,N,2023-04-21 18:01:00
113,"Dawson, Evans and Boyd",Bakery,Chinese,Mumbai,East,20.083330,138.826493,3.06,0.262,N,2023-12-09 21:26:00
114,"Ingram, Martinez and Miller",South Indian,Bakery,Chennai,Central,-49.366434,-147.376540,3.6,0.196,1,2024-10-30 02:12:00
115,Garcia Group,Healthy,Chinese,Delhi,Central,65.7609195,37.317012,4.28,0.157,1,2023-08-15 06:29:00
116,"Cole, Hess and Hubbard",South Indian,Italian,Delhi,North,-19.7993155,-169.892160,3.7,0.265,0,2023-01-07 10:46:00
117,"Phelps, Bailey and Haley",South Indian,Italian,Pune,Central,-21.784318,97.112110,4.28,0.15,Y,2024-07-07 09:37:00
118,Miller-Anderson,Italian,Italian,Bengaluru,Central,-10.258741,80.419602,3.73,0.246,0,2023-05-31 03:16:00
119,Johnson LLC,Italian,North Indian,Pune,Central,-83.5200735,161.436161,3.02,0.273,Y,2023-12-16 23:53:00
120,Hernandez Group,Healthy,South Indian,Hyderabad,North,9.515967,-102.662278,3.31,0.288,FALSE,2024-10-04 19:17:00
121,"White, Woods and Mckinney",Healthy,Fast Food,Chennai,South,71.8373935,-3.947252,3.85,0.207,FALSE,2023-04-22 15:29:00
122,"Juarez, Mccoy and Kelly",Fast Food,North Indian,Pune,East,63.834753,15.083260,4.09,0.293,Y,2023-08-31 23:31:00
123,"Jimenez, Ferguson and Neal",North Indian,Bakery,Hyderabad,South,-5.382213,-85.228501,3.43,0.258,1,2024-08-26 02:51:00
124,"Herrera, Martinez and Smith",Bakery,Bakery,Pune,Central,-76.9913785,-23.278799,4.09,0.223,0,2023-08-05 12:49:00
125,"Hill, Valdez and Johnson",Bakery,Healthy,Delhi,South,-30.699814,-44.286945,,0.258,,2023-02-14 13:09:00
126,Armstrong-Buckley,Healthy,Chinese,Delhi,North,-8.430348,-10.440109,4.27,0.297,Y,2023-12-09 19:29:00
127,Wilson Inc,Bakery,Italian,Mumbai,East,26.1120745,-163.758154,4.68,0.28,1,2023-01-07 19:40:00
128,Bennett Inc,Fast Food,Bakery,Delhi,South,-76.0845455,-174.673987,3.71,0.214,N,2024-10-30 06:13:00
129,"Burton, Greene and Castillo",Italian,North Indian,Pune,North,-35.8534405,31.499822,3.2,0.297,0,2024-10-08 22:26:00
130,"Hill, Pierce and Nguyen",North Indian,Fast Food,Pune,East,-88.854850,114.970513,4.42,0.227,1,2023-01-21 04:00:00
131,Tate-Gonzalez,South Indian,Italian,Bengaluru,Central,6.275740,-127.068123,4.78,0.238,FALSE,2023-03-11 20:07:00
132,Garcia Inc,North Indian,Bakery,Delhi,East,56.4858985,-2.732314,,0.157,,2023-07-21 04:38:00
133,Chaney-Davis,North Indian,Chinese,Pune,West,89.7508695,-34.117495,4.24,0.219,,2024-05-17 16:55:00
134,"Morse, Jackson and Mills",South Indian,Bakery,Bengaluru,East,82.1197935,108.212666,3.15,0.226,N,2023-04-13 03:35:00
135,Jones-Chung,Bakery,Fast Food,Hyderabad,East,-70.1099935,-88.883976,3.6,0.196,FALSE,2023-01-29 16:45:00
136,Salas Ltd,Chinese,Italian,Pune,West,61.178872,-115.785285,3.36,0.253,,2024-08-30 05:42:00
137,Knight LLC,North Indian,South Indian,Mumbai,South,30.9558065,-168.720482,3.07,0.21,FALSE,2024-08-05 22:37:00
138,"Jennings, Austin and Scott",Bakery,Fast Food,Pune,North,48.5081035,57.797703,4.43,0.203,FALSE,2023-02-19 16:55:00
139,Miller and Sons,Healthy,Bakery,Delhi,West,83.249493,154.399434,3.19,0.212,Y,2024-04-29 06:27:00
140,Green PLC,North Indian,Italian,Delhi,East,-39.728518,15.325401,3.97,0.189,TRUE,2024-04-05 09:37:00
141,Novak Group,Fast Food,Fast Food,Pune,South,-84.0168345,168.289600,3.81,0.248,FALSE,2023-11-11 07:22:00
142,"Ray, Bradley and Mitchell",Fast Food,Italian,Hyderabad,Central,-33.4301205,1.973049,3.42,0.177,,2023-05-29 01:13:00
143,"Thompson, Bowman and Cochran",Chinese,Italian,Bengaluru,West,-8.864520,-12.652992,4.1,0.168,N,2024-01-26 16:45:00
144,Mccarthy Group,Fast Food,South Indian,Bengaluru,North,61.357902,147.043905,4.04,0.205,,2024-11-25 01:16:00
145,"Tanner, Rollins and Ortega",Italian,Fast Food,Mumbai,North,-30.310672,-94.340657,4.13,0.156,,2024-10-18 13:25:00
146,"Baker, Boyer and Smith",Healthy,Italian,Hyderabad,South,48.659063,-96.846185,3.24,0.185,TRUE,2023-12-04 11:18:00
147,Jackson Ltd,Fast Food,Bakery,Mumbai,South,-83.666117,23.904240,3.76,0.266,0,2024-05-17 08:39:00
148,"Gregory, Henson and Hess",South Indian,Italian,Pune,West,79.039171,-173.852696,3.91,0.278,,2024-08-26 06:43:00
149,Dunn-Owens,Fast Food,South Indian,Delhi,North,-62.139123,96.673419,4.34,0.171,0,2023-08-15 02:49:00
150,"Martin, Bailey and Myers",North Indian,Healthy,Pune,North,-48.971487,16.043233,4.16,0.235,Y,2023-10-11 23:24:00
151,"Torres, Horn and Aguilar",Healthy,Bakery,Chennai,Central,57.1672855,82.306258,4.46,0.197,FALSE,2024-05-08 23:38:00
152,Marshall-Pierce,Fast Food,North Indian,Chennai,East,-29.0069335,-80.073151,3.89,0.195,FALSE,2023-03-17 04:17:00
153,Ray-Bush,South Indian,Chinese,Chennai,North,-11.7166265,-53.063309,3.54,0.225,Y,2024-12-13 02:36:00
154,Moses LLC,Healthy,Fast Food,Bengaluru,North,-13.098897,103.796943,4.24,0.285,1,2024-04-15 05:23:00
155,Gonzalez-Perez,Healthy,South Indian,Bengaluru,East,-88.3884465,95.936104,4.11,0.239,TRUE,2024-01-18 15:23:00
156,"Brown, Smith and Barber",Chinese,South Indian,Chennai,North,31.4377185,135.939953,3.63,0.236,,2024-02-21 18:17:00
157,"Clark, Conley and Arnold",Healthy,Fast Food,Pune,West,17.307805,166.683770,4.6,0.197,1,2023-01-17 13:38:00
158,Phillips LLC,Bakery,Chinese,Hyderabad,South,-60.017013,1.227378,4.37,0.27,,2023-03-03 02:18:00
159,"Lopez, Barton and Bennett",Bakery,Fast Food,Bengaluru,East,-60.814604,150.696739,3.54,0.189,FALSE,2023-07-17 11:54:00
160,Wood Ltd,North Indian,Healthy,Delhi,West,-17.093746,-125.001202,4.51,0.27,1,2024-06-01 18:37:00
161,Turner and Sons,Bakery,North Indian,Chennai,North,14.8861825,98.292411,4.11,0.294,,2024-10-04 20:00:00
162,Adams-Chaney,South Indian,Fast Food,Mumbai,South,3.402576,150.950655,3.67,0.269,Y,2024-10-11 02:38:00
163,"Conrad, Davis and Greene",Healthy,South Indian,Bengaluru,South,-22.6860315,-149.227553,3.16,0.219,1,2024-02-10 01:48:00
164,Smith Inc,Chinese,Healthy,Chennai,North,-39.8353555,3.895849,3.17,0.208,N,2023-11-06 11:24:00
165,Curry Inc,South Indian,North Indian,Delhi,North,40.793851,142.386466,3.51,0.201,1,2023-09-14 13:17:00
166,Rivera LLC,South Indian,Fast Food,Hyderabad,South,59.089213,132.590422,4.28,0.151,TRUE,2023-03-27 15:10:00
167,"Cervantes, Carter and Rocha",Italian,North Indian,Mumbai,West,8.616979,133.963177,4.2,0.289,N,2023-09-23 16:07:00
168,"Fletcher, Smith and Gardner",North Indian,Healthy,Chennai,North,-50.0227195,62.904512,3.09,0.289,N,2024-06-22 02:37:00
169,Harris-Wagner,North Indian,Italian,Bengaluru,North,-57.7087855,175.278174,3.79,0.201,Y,2023-03-18 08:51:00
170,Hicks PLC,North Indian,South Indian,Chennai,North,32.2032715,-165.512914,4.37,0.194,0,2023-04-20 16:38:00
171,Miller Group,Fast Food,Chinese,Delhi,East,-1.8999535,-29.552524,3.72,0.188,1,2023-03-29 18:02:00
172,Brown-Waters,South Indian,South Indian,Chennai,North,17.3457425,32.965780,4.72,0.215,1,2024-01-04 00:25:00
173,"Martin, Hardy and Hancock",Healthy,North Indian,Mumbai,South,33.043123,3.031153,3.93,0.286,,2024-12-14 10:54:00
174,"Brown, Duncan and Mitchell",Bakery,Chinese,Hyderabad,East,-73.988525,50.627206,3.21,0.232,1,2024-08-02 02:01:00
175,Cook-Black,Fast Food,South Indian,Chennai,North,-23.694528,-174.228991,3.59,0.163,Y,2024-08-21 03:57:00
176,Miranda Inc,Fast Food,Fast Food,Chennai,West,-13.463978,10.673179,4.23,0.191,0,2023-04-26 09:54:00
177,Martinez-Romero,Healthy,Fast Food,Bengaluru,South,-43.773562,-79.860373,3.51,0.254,0,2024-02-11 19:42:00
178,"Green, Davis and Harmon",South Indian,Italian,Hyderabad,South,-62.5910125,-133.907287,3.34,0.173,FALSE,2023-05-04 05:32:00
179,Green-Simon,South Indian,North Indian,Chennai,West,86.2672605,-41.022597,3.05,0.285,1,2024-10-24 10:19:00
180,"Cobb, Terry and Mcmillan",Fast Food,Fast Food,Chennai,East,-11.1182665,-158.358516,3.55,0.21,,2024-10-01 10:08:00
181,Dixon-Lane,South Indian,Healthy,Hyderabad,West,-68.8494355,-174.804105,3.13,0.169,N,2024-11-08 13:09:00
182,Ray Inc,North Indian,Italian,Pune,South,-69.037627,-79.876648,4.6,0.293,,2024-12-11 21:49:00
183,"Buckley, Copeland and Butler",South Indian,Healthy,Hyderabad,North,-13.171511,-178.701703,3.22,0.258,Y,2024-07-27 22:20:00
184,"Greene, Vargas and Brooks",Fast Food,Chinese,Bengaluru,North,77.2062295,-30.643109,4.61,0.183,1,2024-01-03 13:44:00
185,Good-Obrien,Chinese,South Indian,Hyderabad,West,32.4759565,-120.978352,4.38,0.188,0,2023-01-13 04:16:00
186,Murillo Ltd,Italian,South Indian,Mumbai,East,-23.2797945,-165.944209,4.59,0.221,Y,2023-03-25 21:29:00
187,Barnes and Sons,Chinese,South Indian,Mumbai,South,-39.855803,83.015284,4.8,0.174,0,2024-07-03 14:28:00
188,"Perez, Townsend and Boyd",Italian,North Indian,Pune,South,-61.464971,-150.833180,4.44,0.266,N,2024-09-25 06:45:00
189,Maldonado-Chavez,Fast Food,Healthy,Chennai,West,-43.1169405,128.306743,4.79,0.224,TRUE,2024-12-24 14:33:00
190,"Gonzalez, Mitchell and Allen",Fast Food,Bakery,Chennai,East,4.586391,-107.537896,3.71,0.223,1,2023-05-18 02:33:00
191,"Gross, Castillo and Lewis",Chinese,Healthy,Bengaluru,Central,36.9951945,-33.199641,3.81,0.153,FALSE,2023-08-12 23:51:00
192,Lewis Inc,North Indian,Bakery,Bengaluru,West,71.906432,89.701211,4.59,0.257,1,2024-05-19 04:56:00
193,"Simmons, Estes and Porter",Chinese,Chinese,Delhi,North,-74.219298,-151.312107,4.44,0.215,0,2023-10-24 02:12:00
194,"Jones, Bentley and Middleton",Fast Food,Bakery,Pune,North,-72.416508,31.444472,4.34,0.239,,2024-05-12 14:49:00
195,"Ward, Casey and Dunn",Fast Food,Fast Food,Chennai,South,-9.245895,-122.401127,4.72,0.255,0,2023-08-13 18:57:00
196,"Horne, Hurley and Short",Fast Food,Fast Food,Chennai,North,44.9800685,-104.191916,3.19,0.286,FALSE,2024-10-25 06:32:00
197,"Thompson, Jones and Mckinney",Fast Food,Bakery,Chennai,East,-16.9227765,-96.391156,4.13,0.227,N,2024-05-04 01:21:00
198,Schroeder and Sons,Italian,Healthy,Delhi,North,31.0245085,-99.845527,3.33,0.162,Y,2024-09-20 20:33:00
199,Taylor-Hartman,Bakery,Italian,Delhi,West,-20.1739515,-50.596322,4.04,0.239,1,2024-11-21 02:45:00
200,Cruz LLC,Italian,Bakery,Chennai,Central,-86.431562,133.379953,3.34,0.202,TRUE,2024-04-25 22:22:00
201,"Acosta, Lowery and Reyes",Fast Food,Fast Food,Bengaluru,South,-74.0761605,82.007948,3.89,0.235,TRUE,2024-11-05 19:43:00
202,"Higgins, Mahoney and Blair",Healthy,Chinese,Hyderabad,East,11.8049075,145.945903,4.1,0.207,0,2024-03-02 14:09:00
203,Patel-King,Healthy,Chinese,Mumbai,West,67.830702,124.566101,4.38,0.204,1,2024-09-17 08:46:00
204,Richardson-Salazar,South Indian,South Indian,Hyderabad,South,-41.981368,94.847665,3.5,0.237,TRUE,2023-12-11 03:26:00
205,Ponce-Scott,North Indian,Bakery,Mumbai,South,19.3081785,-105.407962,4.47,0.242,TRUE,2023-12-26 10:02:00
206,"Nguyen, Phillips and Johnson",Chinese,North Indian,Bengaluru,Central,40.696588,20.142151,4.05,0.154,TRUE,2024-02-25 16:59:00
207,Hartman Group,Healthy,Italian,Delhi,North,60.368367,155.936970,3.62,0.21,FALSE,2023-12-31 20:39:00
208,"Espinoza, Navarro and Jackson",Chinese,North Indian,Bengaluru,East,49.266885,36.303478,4.7,0.186,1,2023-05-26 04:48:00
