TRIP_ID,ORDER_ID,AGENT_ID,PICKUP_TIME,DROP_TIME,DISTANCE_KM,ESTIMATED_TIME_MIN,ACTUAL_TIME_MIN,SLA_BREACH_FLAG
290,383,526,2024-04-17 06:43:00,2024-04-17 07:30:00,10.53,30,47,1
291,384,269,2024-06-03 19:22:00,2024-06-03 19:48:00,3.37,35,26,0
292,385,270,2024-08-27 02:24:00,2024-08-27 02:45:00,2.19,35,21,0
293,386,583,2024-06-23 07:19:00,2024-06-23 07:36:00,5.98,25,17,0
294,387,396,2023-12-17 17:03:00,2023-12-17 17:53:00,1.5,20,50,1
295,388,152,2024-03-16 22:24:00,2024-03-16 22:56:00,8.74,30,32,0
296,390,433,2024-01-07 21:55:00,2024-01-07 22:36:00,10.46,20,41,1
297,392,147,2023-12-01 14:09:00,2023-12-01 14:21:00,7.47,35,12,0
298,394,287,2024-05-17 17:13:00,2024-05-17 17:57:00,10.41,20,44,1
299,395,464,2023-01-10 08:00:00,2023-01-10 08:24:00,6.88,20,24,0
300,396,469,2023-04-23 23:44:00,2023-04-24 00:07:00,11.04,20,23,0
301,397,576,2024-07-09 03:47:00,2024-07-09 04:17:00,11.32,20,30,1
302,398,407,2024-01-05 12:51:00,2024-01-05 13:43:00,3.56,35,52,1
303,401,416,2023-08-16 21:52:00,2023-08-16 22:16:00,2.75,30,24,0
304,403,119,2024-11-16 15:51:00,2024-11-16 16:13:00,11.64,25,22,0
305,404,413,2024-12-31 08:34:00,2024-12-31 09:20:00,7.38,20,46,1
306,405,668,2023-10-03 11:01:00,2023-10-03 11:36:00,5.45,25,35,1
307,406,524,2023-06-07 18:59:00,2023-06-07 19:29:00,11.54,20,30,1
308,409,369,2024-10-17 10:03:00,2024-10-17 11:01:00,3.59,35,58,1
309,410,373,2024-07-17 02:00:00,2024-07-17 02:47:00,8.21,35,47,1
310,412,591,2024-10-15 05:27:00,2024-10-15 06:15:00,6.68,25,48,1
311,413,120,2024-08-12 07:08:00,2024-08-12 07:42:00,7.36,25,34,1
312,414,357,2023-10-02 16:40:00,2023-10-02 16:57:00,2.62,20,17,0
313,415,80,2024-08-03 16:55:00,2024-08-03 17:39:00,8.12,30,44,1
314,417,516,2024-11-03 15:32:00,2024-11-03 15:48:00,2.4,35,16,0
315,418,439,2024-08-07 17:19:00,2024-08-07 17:37:00,7.76,25,18,0
316,421,401,2024-07-05 08:48:00,2024-07-05 09:15:00,4.0,35,27,0
317,422,495,2024-12-26 16:41:00,2024-12-26 17:13:00,10.55,35,32,0
318,427,338,2024-06-03 22:57:00,2024-06-03 23:46:00,1.98,25,49,1
319,428,384,2024-12-26 11:29:00,2024-12-26 12:11:00,7.79,20,42,1
320,429,149,2023-01-26 04:04:00,2023-01-26 04:16:00,5.27,25,12,0
321,431,744,2024-01-06 14:35:00,2024-01-06 14:41:00,6.55,20,6,0
322,432,163,2023-05-15 15:33:00,2023-05-15 16:00:00,4.66,35,27,0
323,433,789,2023-05-25 13:40:00,2023-05-25 14:23:00,11.26,35,43,1
324,434,358,2024-07-30 00:12:00,2024-07-30 00:19:00,7.3,35,7,0
325,435,573,2024-03-08 00:13:00,2024-03-08 00:39:00,2.9,25,26,0
326,437,427,2024-09-11 10:00:00,2024-09-11 10:10:00,9.26,25,10,0
327,438,77,2023-12-05 17:45:00,2023-12-05 17:42:00,8.6,20,-3,0
328,439,52,2024-12-10 16:37:00,2024-12-10 17:06:00,9.18,25,29,0
