MENU_ITEM_ID,RESTAURANT_ID,ITEM_NAME,CATEGORY,PRICE,IS_VEG,IS_ACTIVE
88,834,Mr Meal,Starter,556.94,0,0
89,245,Material Meal,Dessert,511.06,0,1
90,96,Firm Burger,Beverage,366.73,N,N
91,86,Subject Pizza,Dessert,295.37,1,N
92,289,Son Meal,Dessert,113.97,1,N
93,910,Although Bowl,Dessert,207.78,0,0
94,262,Song Burger,Dessert,409.96,N,1
95,131,Goal Pizza,Dessert,505.47,N,N
96,692,Face Thali,Main,170.23,0,
97,920,Hear Pizza,Dessert,392.84,0,Y
98,898,Beautiful Pizza,Dessert,503.96,N,0
99,850,Respond Bowl,Main,592.43,N,
100,87,Card Meal,Dessert,514.56,N,Y
101,868,Conference Burger,Main,117.95,N,Y
102,634,Information Burger,Main,125.87,Y,
103,906,Soon Thali,Dessert,583.74,Y,Y
104,428,Wait Thali,Beverage,450.46,1,N
105,112,Father Burger,Beverage,129.77,0,N
106,160,Minute Pizza,Main,250.66,Y,
107,280,Daughter Meal,Dessert,276.86,Y,0
108,561,Outside Thali,Main,88.54,0,0
109,111,Fact Thali,Beverage,379.0,N,0
110,16,Spend Pizza,Main,537.87,1,0
111,778,Six Pizza,Starter,221.21,0,N
112,146,Common Burger,Dessert,93.06,Y,N
113,839,Offer Meal,Beverage,156.79,Y,N
114,816,Student Meal,Starter,259.45,0,
115,249,Safe Pizza,Main,393.23,1,
116,699,West Meal,Dessert,262.57,N,
117,451,Card Meal,Main,355.99,Y,N
118,185,Enjoy Pizza,Beverage,457.54,0,1
119,699,Many Meal,Beverage,524.05,Y,
120,878,Whatever Bowl,Main,478.78,N,Y
121,350,Fish Burger,Beverage,531.94,N,1
122,918,Young Thali,Beverage,188.78,Y,
123,463,Admit Meal,Main,507.72,0,1
124,498,Material Pizza,Main,257.53,Y,N
125,813,Describe Bowl,Dessert,544.99,0,
126,22,East Meal,Dessert,409.05,N,N
127,195,To Burger,Dessert,399.22,Y,1
128,699,House Meal,Beverage,328.39,1,
129,669,Glass Thali,Main,404.55,0,1
130,776,Traditional Pizza,Main,181.85,N,
131,825,Something Bowl,Main,407.7,N,N
132,679,Training Thali,Beverage,298.55,0,Y
133,188,System Pizza,Main,310.34,0,1
134,977,College Pizza,Main,436.04,1,1
135,755,Well Meal,Starter,280.85,0,1
136,339,Time Thali,Main,162.34,N,Y
137,72,International Bowl,Dessert,499.82,0,1
138,564,Apply Pizza,Starter,276.45,1,N
139,503,Between Burger,Beverage,152.95,Y,Y
140,486,Sense Bowl,Main,140.15,N,N
141,983,Issue Bowl,Starter,414.83,1,Y
142,126,Entire Bowl,Starter,362.56,1,
143,677,Employee Meal,Main,213.75,1,1
144,468,Feeling Bowl,Dessert,111.7,N,N
145,758,Later Bowl,Dessert,252.14,N,
146,22,Point Pizza,Beverage,540.93,N,Y
147,649,Could Burger,Beverage,386.32,1,1
148,838,Image Meal,Starter,383.22,N,
149,290,Citizen Burger,Starter,360.77,0,1
150,551,Option Pizza,Starter,82.32,Y,0
151,26,Modern Pizza,Main,217.14,N,1
152,3,Capital Bowl,Dessert,92.2,Y,Y
153,458,Rich Meal,Beverage,260.55,Y,1
154,972,Ground Burger,Main,300.68,1,N
155,875,Trade Pizza,Main,505.67,0,Y
156,520,Player Pizza,Beverage,165.2,0,0
157,887,Edge Thali,Dessert,95.18,1,
158,911,Religious Thali,Main,439.51,0,Y
159,515,Guess Pizza,Main,90.76,N,Y
160,698,Particular Bowl,Starter,511.04,1,1
161,137,Trade Meal,Main,311.52,1,
162,544,Material Bowl,Beverage,547.99,N,0
163,935,Future Pizza,Beverage,271.08,N,0
164,848,Less Thali,Beverage,419.8,1,N
165,547,Financial Burger,Beverage,293.41,Y,1
166,298,Effect Meal,Dessert,325.78,N,
167,583,Tax Burger,Starter,254.56,Y,0
168,326,Cost Meal,Beverage,318.87,N,0
169,697,Poor Bowl,Beverage,511.41,1,0
170,743,Have Pizza,Beverage,163.76,1,1
171,272,Represent Meal,Dessert,,1,N
172,816,Window Thali,Beverage,415.97,0,0
173,229,Picture Bowl,Starter,110.14,Y,
174,429,Social Meal,Dessert,119.16,0,0
175,824,Us Thali,Beverage,484.44,0,
176,700,Worry Thali,Beverage,585.6,0,
177,753,Decide Bowl,Beverage,477.25,1,0
178,28,Wonder Thali,Dessert,584.6,1,
179,221,Democrat Meal,Starter,216.79,N,0
180,330,Whatever Meal,Beverage,306.26,N,
181,645,Thought Pizza,Dessert,557.95,N,0
182,302,Coach Bowl,Beverage,549.1,N,0
183,97,This Burger,Starter,496.38,1,
184,417,Else Meal,Starter,228.75,0,N
185,541,Listen Bowl,Main,202.85,0,
186,869,Follow Pizza,Main,254.51,Y,Y
187,272,Role Pizza,Beverage,353.63,N,0
188,229,Provide Burger,Main,133.08,0,
189,934,Understand Pizza,Dessert,321.78,1,Y
190,817,Shoulder Burger,Dessert,134.23,N,N
191,350,Buy Pizza,Dessert,451.81,N,
192,411,Admit Thali,Beverage,348.34,0,1
193,489,Later Pizza,Dessert,272.77,0,
194,305,Just Thali,Dessert,250.41,1,1
195,363,Door Burger,Main,498.9,N,N
196,430,Seem Burger,Main,242.45,0,
197,683,Role Bowl,Main,209.86,N,
198,792,Republican Burger,Starter,202.13,0,Y
199,372,Along Meal,Main,145.93,N,1
200,680,Hard Pizza,Dessert,178.28,1,N
201,435,My Bowl,Main,444.09,Y,1
202,106,Letter Thali,Main,415.26,1,Y
203,690,Purpose Meal,Main,483.46,0,
204,519,Third Burger,Dessert,506.07,Y,
205,917,Decade Pizza,Beverage,449.22,N,1
206,139,Choice Thali,Dessert,541.05,N,
207,347,Gas Thali,Main,181.21,N,Y
208,278,Design Burger,Main,333.48,1,0
209,30,Entire Meal,Starter,492.53,0,
210,651,Improve Thali,Beverage,103.26,Y,
211,767,Drive Meal,Starter,233.62,N,N
212,258,Reality Burger,Beverage,247.42,0,
213,15,Small Bowl,Dessert,562.97,N,0
214,424,Learn Thali,Dessert,,1,1
215,884,And Thali,Main,353.35,0,1
216,1,Memory Meal,Starter,252.73,N,
217,754,Site Pizza,Main,329.11,0,1
218,466,Data Meal,Main,116.67,N,
219,756,Building Meal,Beverage,168.43,N,N
220,172,Young Burger,Main,138.68,1,N
221,3,West Pizza,Beverage,515.96,0,
222,680,Though Meal,Dessert,166.66,0,
223,419,Suddenly Pizza,Dessert,192.66,0,N
224,206,How Meal,Beverage,370.91,Y,
225,332,Debate Meal,Starter,262.6,0,0
226,369,Specific Burger,Beverage,268.89,0,
227,666,Future Pizza,Main,194.95,N,1
228,679,Your Meal,Beverage,391.93,Y,0
229,19,Pattern Bowl,Main,443.06,Y,
230,616,Decade Meal,Dessert,428.01,1,N
231,480,Pay Pizza,Main,374.48,0,N
232,611,Seem Thali,Dessert,485.99,Y,Y
233,945,Usually Meal,Main,361.53,N,0
234,526,Goal Burger,Beverage,225.37,Y,
235,264,Forget Pizza,Beverage,102.32,0,
236,934,Shoulder Burger,Main,485.53,N,0
237,22,Eat Thali,Dessert,510.68,N,1
238,83,Others Pizza,Dessert,376.32,N,Y
239,703,Himself Pizza,Dessert,156.37,Y,Y
240,895,Continue Meal,Dessert,410.88,N,
241,747,Wait Meal,Main,86.9,0,0
242,390,Tell Pizza,Dessert,525.74,Y,N
243,695,Weight Burger,Main,99.33,1,N
244,918,Commercial Burger,Dessert,418.46,N,1
245,637,Any Bowl,Beverage,568.15,0,Y
246,546,Treatment Bowl,Starter,329.19,1,
247,218,Expert Meal,Main,253.32,1,1
248,38,Resource Pizza,Dessert,452.38,N,Y
249,643,Central Thali,Dessert,480.57,0,1
250,695,Beat Burger,Beverage,160.07,Y,N
251,256,Serve Bowl,Starter,191.7,N,N
252,353,Establish Burger,Dessert,577.93,0,Y
253,522,Central Bowl,Dessert,295.08,1,N
254,781,Believe Meal,Beverage,279.95,0,N
255,318,During Thali,Starter,534.89,1,1
256,56,Heavy Bowl,Dessert,171.39,Y,0
257,245,Different Burger,Starter,228.57,Y,
258,294,Expert Thali,Dessert,,Y,1
259,337,Individual Pizza,Beverage,426.51,1,N
260,618,Bad Thali,Main,552.95,N,1
261,203,Our Burger,Dessert,358.1,Y,
262,287,Store Thali,Starter,165.04,0,0
263,296,Direction Bowl,Beverage,119.81,1,1
264,533,Sense Bowl,Beverage,83.02,N,Y
265,964,Religious Burger,Main,505.32,Y,
266,159,Image Pizza,Beverage,308.01,Y,N
267,259,Building Burger,Beverage,599.38,N,
268,547,Eight Bowl,Main,382.8,N,1
269,718,Call Bowl,Beverage,559.71,Y,Y
270,537,Heart Pizza,Main,430.43,N,Y
271,167,Deal Bowl,Main,457.33,1,Y
272,199,Attorney Bowl,Main,424.89,Y,Y
273,714,Government Pizza,Dessert,519.87,Y,
274,377,Chance Bowl,Beverage,359.63,Y,Y
275,579,Tonight Pizza,Beverage,532.9,1,0
276,36,Most Pizza,Main,337.92,0,Y
277,596,Dream Pizza,Dessert,557.75,Y,
278,735,Family Burger,Main,169.66,0,Y
279,356,Serious Thali,Beverage,246.01,0,N
280,277,Add Burger,Starter,481.16,N,0
281,138,Beat Pizza,Main,337.82,N,Y
282,650,Hospital Meal,Main,549.44,1,N
283,3,Protect Bowl,Starter,486.21,Y,Y
284,213,Moment Thali,Starter,187.97,N,0
285,252,Modern Thali,Beverage,456.77,0,
286,825,Type Thali,Starter,364.59,Y,0
287,97,Social Thali,Dessert,267.19,0,Y
288,875,Instead Pizza,Beverage,533.69,Y,1
289,270,College Burger,Dessert,459.72,0,N
290,53,So Pizza,Dessert,409.42,Y,N
291,158,Leg Burger,Dessert,536.17,0,1
292,783,Money Thali,Starter,290.92,1,1
293,273,Your Meal,Starter,270.1,N,Y
294,866,Discover Thali,Beverage,409.97,1,Y
295,429,Not Pizza,Starter,372.45,Y,Y
296,973,Although Burger,Main,266.01,0,
297,267,International Bowl,Dessert,539.14,N,
298,574,Number Burger,Beverage,102.02,0,0
299,930,Artist Pizza,Beverage,352.81,N,1
300,592,Couple Burger,Beverage,,Y,1
301,106,Tell Burger,Beverage,316.59,N,Y
302,801,Write Meal,Main,248.09,N,Y
303,548,Word Bowl,Starter,565.32,0,0
304,174,Attack Pizza,Main,230.53,1,N
305,245,Significant Thali,Beverage,438.9,N,1
306,757,Doctor Pizza,Dessert,520.83,1,1
307,866,Hair Thali,Starter,236.64,N,1
308,137,Method Meal,Beverage,504.18,1,Y
309,3,Movie Burger,Dessert,452.2,Y,0
310,150,Middle Pizza,Dessert,215.85,0,1
311,153,Long Thali,Main,200.35,1,1
312,196,Somebody Meal,Starter,147.29,0,Y
313,679,Summer Meal,Beverage,202.61,1,0
314,344,Among Burger,Beverage,199.73,1,N
315,421,Shake Meal,Dessert,175.57,N,N
316,820,Big Meal,Beverage,275.44,N,
317,957,Yes Burger,Main,268.71,0,1
318,658,Phone Bowl,Starter,321.77,0,N
319,57,Produce Thali,Dessert,147.01,N,N
320,860,Air Bowl,Starter,456.5,N,0
321,602,Gas Meal,Beverage,155.7,N,N
322,201,Result Burger,Starter,362.82,0,1
323,287,Several Pizza,Starter,304.73,0,
324,875,Board Thali,Starter,196.01,Y,0
325,740,Our Thali,Beverage,164.94,0,N
326,698,Throughout Burger,Main,94.25,1,Y
327,307,Message Pizza,Starter,118.69,0,Y
328,831,Go Thali,Starter,272.23,0,Y
329,36,Single Meal,Starter,225.36,0,N
330,286,Group Burger,Starter,138.73,0,
331,458,Economic Burger,Main,344.4,1,Y
332,249,Look Burger,Dessert,476.47,N,Y
333,585,Economic Pizza,Dessert,259.69,N,0
334,231,Everyone Pizza,Main,174.59,1,N
335,5,Generation Thali,Beverage,370.97,Y,
336,846,Method Burger,Beverage,234.95,Y,0
337,761,Heavy Pizza,Dessert,402.28,N,Y
338,43,Enter Meal,Starter,369.12,0,N
339,865,Game Thali,Starter,568.13,Y,0
340,694,Now Burger,Main,435.25,1,1
341,914,Dinner Bowl,Starter,470.23,Y,1
342,147,Care Bowl,Main,299.87,Y,1
343,757,Wear Bowl,Main,242.8,0,0
344,435,Chance Burger,Dessert,507.18,0,0
345,25,Later Pizza,Starter,303.69,N,1
346,303,Quality Thali,Starter,594.04,N,1
347,354,Onto Burger,Starter,157.67,1,1
348,624,Continue Bowl,Starter,113.78,1,
349,936,Skill Thali,Starter,544.49,0,Y
350,168,Back Burger,Beverage,463.57,Y,N
351,563,Sometimes Bowl,Dessert,321.04,Y,0
352,519,Peace Pizza,Main,295.06,N,1
353,472,Gun Thali,Main,352.58,1,0
354,302,Move Meal,Main,599.76,Y,N
355,621,Chance Thali,Main,412.89,N,Y
356,734,Like Burger,Dessert,,1,1
357,674,Positive Bowl,Starter,583.85,0,1
358,750,Operation Meal,Starter,516.78,1,Y
359,583,Family Bowl,Dessert,,1,Y
360,88,Sell Thali,Dessert,147.65,0,1
361,30,True Thali,Starter,496.37,1,Y
362,746,Defense Burger,Main,351.54,N,N
363,16,Member Burger,Main,480.8,Y,1
364,272,Foot Thali,Dessert,351.64,N,1
365,581,Blue Pizza,Beverage,262.61,N,1
366,702,Last Pizza,Beverage,161.16,1,1
367,988,Me Bowl,Starter,254.18,N,1
368,263,Civil Pizza,Dessert,188.06,1,1
369,403,As Burger,Main,134.62,Y,N
370,192,Evidence Thali,Main,572.46,N,0
371,512,Meeting Thali,Beverage,546.28,0,Y
372,752,Participant Burger,Dessert,96.56,0,Y
373,949,Left Thali,Beverage,90.4,0,Y
374,785,Hit Bowl,Main,571.53,1,1
375,945,Develop Meal,Starter,563.95,1,
376,101,Game Burger,Main,570.84,1,
377,626,Next Meal,Beverage,435.16,1,
378,139,Business Pizza,Beverage,424.12,Y,1
379,344,Art Burger,Starter,449.19,Y,Y
380,652,Play Thali,Starter,179.69,N,N
381,267,We Meal,Beverage,415.28,N,N
382,916,Strong Thali,Main,224.8,Y,1
383,976,Pass Pizza,Beverage,478.29,0,Y
384,194,How Bowl,Beverage,90.0,0,N
385,467,Experience Bowl,Main,318.56,0,Y
386,984,Officer Pizza,Dessert,107.98,1,0
387,196,Ahead Burger,Beverage,466.05,0,1
388,576,Lose Bowl,Beverage,173.75,1,N
389,659,Cell Pizza,Dessert,165.27,1,0
390,391,Stop Thali,Beverage,415.09,N,1
391,90,Nothing Burger,Main,,0,
392,28,Same Bowl,Beverage,465.99,N,0
393,776,Where Bowl,Starter,294.23,0,0
394,836,Role Burger,Main,383.27,N,N
395,720,Seem Bowl,Main,290.29,Y,Y
396,21,Feeling Thali,Dessert,,1,
397,55,Television Meal,Starter,365.17,Y,1
398,709,Allow Thali,Dessert,449.04,Y,N
399,951,Glass Meal,Dessert,233.4,1,0
400,268,Former Thali,Dessert,189.81,1,0
401,611,Soldier Meal,Main,410.56,N,N
402,95,Evening Meal,Main,382.26,Y,
403,899,Brother Meal,Dessert,359.03,1,0
404,138,Explain Bowl,Dessert,515.54,1,1
405,786,Leader Burger,Main,328.68,1,Y
406,193,Research Pizza,Main,509.38,Y,N
407,363,Method Pizza,Starter,415.2,Y,1
408,734,Feeling Bowl,Main,359.96,0,
409,61,Others Meal,Beverage,190.71,N,Y
410,904,World Pizza,Dessert,285.73,1,Y
411,255,Dark Bowl,Dessert,214.53,0,
412,957,Ability Thali,Starter,,1,N
413,559,Or Thali,Starter,103.28,N,
414,92,There Pizza,Starter,525.25,1,
415,156,Business Thali,Beverage,520.48,1,
416,702,Toward Burger,Beverage,399.55,Y,1
417,908,None Thali,Beverage,288.29,N,Y
418,320,Sound Burger,Starter,218.25,Y,N
419,735,Or Pizza,Starter,118.94,0,N
420,707,Into Bowl,Main,516.83,1,Y
421,276,Entire Thali,Starter,485.87,N,1
422,764,College Burger,Beverage,521.65,Y,Y
423,599,Son Meal,Dessert,153.9,N,
424,520,Somebody Meal,Starter,500.32,0,
425,461,Section Meal,Main,589.2,1,0
426,239,Family Bowl,Main,361.37,Y,Y
427,262,Drop Pizza,Beverage,196.41,0,N
428,790,Tonight Thali,Dessert,414.93,N,Y
429,229,Property Burger,Beverage,484.52,N,0
430,108,Pass Burger,Starter,354.89,1,1
431,163,Lot Bowl,Dessert,228.47,0,0
432,303,Bag Thali,Dessert,287.74,1,0
433,115,Yard Bowl,Main,472.86,N,1
434,91,Player Bowl,Dessert,90.26,N,
435,694,Laugh Burger,Beverage,163.23,Y,
436,134,Standard Burger,Dessert,472.84,1,Y
437,740,Positive Pizza,Beverage,233.18,0,
438,905,Get Bowl,Beverage,550.68,1,
439,123,Whether Meal,Beverage,599.46,1,0
440,620,Fast Pizza,Starter,449.79,0,1
441,353,Floor Bowl,Main,424.65,N,
442,818,Executive Burger,Beverage,595.07,N,1
443,78,Service Pizza,Starter,266.63,Y,Y
444,73,Computer Meal,Dessert,173.26,Y,Y
445,772,Attorney Bowl,Main,125.22,Y,N
446,771,Person Burger,Main,551.21,N,Y
447,228,Five Pizza,Dessert,353.71,1,1
448,454,Pressure Burger,Dessert,344.35,1,1
449,796,Control Burger,Beverage,246.84,N,1
450,668,Thought Pizza,Starter,194.37,N,1
451,276,Now Burger,Main,174.0,Y,1
452,851,Position Meal,Dessert,305.96,N,N
453,726,Difference Pizza,Dessert,113.48,0,N
454,309,Change Meal,Starter,363.75,N,Y
455,763,Rest Bowl,Main,337.64,Y,N
456,31,Black Thali,Beverage,121.61,Y,1
457,920,Control Meal,Starter,457.36,Y,N
458,693,Too Burger,Beverage,345.59,0,N
459,533,Run Meal,Beverage,209.69,N,N
460,392,Particular Pizza,Dessert,,N,1
461,290,Democratic Bowl,Dessert,259.17,1,0
462,545,Tend Burger,Beverage,416.7,Y,0
463,584,Tonight Bowl,Dessert,195.83,N,0
464,466,Expect Burger,Main,272.31,0,Y
465,599,Develop Meal,Starter,409.63,N,Y
466,636,Ahead Burger,Starter,266.18,0,1
467,877,Individual Burger,Dessert,380.76,Y,N
468,887,Imagine Pizza,Main,286.81,1,
469,747,Account Meal,Starter,420.63,N,1
470,280,Leader Burger,Starter,525.97,N,1
471,872,Accept Meal,Starter,535.53,Y,Y
472,231,Main Meal,Beverage,92.82,0,
473,326,Necessary Pizza,Dessert,241.58,1,0
474,631,Difficult Meal,Main,546.44,Y,N
475,528,Middle Meal,Main,353.08,N,N
476,205,Trade Pizza,Beverage,541.96,0,Y
477,450,Theory Burger,Beverage,498.71,N,0
478,492,Clearly Burger,Beverage,486.67,1,N
479,161,Occur Bowl,Beverage,113.79,1,0
480,760,Similar Thali,Dessert,354.32,1,0
481,928,Ago Thali,Beverage,119.19,N,N
482,888,Occur Pizza,Dessert,482.89,N,
483,742,Pick Bowl,Beverage,363.68,N,0
484,959,Late Pizza,Dessert,463.01,N,
485,998,Well Burger,Beverage,407.17,N,
486,434,You Bowl,Main,308.78,N,N
487,95,Program Meal,Dessert,411.69,N,
488,145,Thank Pizza,Starter,253.67,Y,0
489,612,Some Thali,Starter,341.43,Y,1
490,229,Family Burger,Dessert,484.2,0,Y
491,490,Society Thali,Main,512.8,Y,Y
492,531,Author Thali,Main,595.77,Y,1
493,456,Sure Thali,Beverage,127.88,1,N
494,468,Ten Meal,Starter,325.52,1,0
495,100,Specific Burger,Dessert,492.54,0,
496,202,After Pizza,Dessert,180.45,Y,1
497,876,Use Pizza,Starter,195.91,1,1
498,103,Represent Bowl,Beverage,163.46,Y,
499,71,Put Meal,Dessert,231.96,N,N
500,44,Respond Bowl,Main,200.89,Y,N
501,546,Bar Meal,Starter,422.13,0,1
502,69,Administration Pizza,Dessert,547.46,Y,Y
503,398,Help Bowl,Beverage,498.4,0,N
504,513,Design Burger,Dessert,305.46,Y,
505,520,They Bowl,Starter,535.71,0,N
506,881,Question Pizza,Main,313.2,N,1
507,282,Citizen Burger,Starter,153.11,0,1
508,92,Test Bowl,Dessert,399.39,0,Y
509,52,Research Meal,Starter,304.05,1,
510,593,Now Pizza,Main,463.69,1,0
511,954,Sport Meal,Starter,89.63,1,1
512,378,Send Burger,Dessert,542.16,Y,N
513,437,Seven Thali,Beverage,120.89,1,0
514,40,Movie Thali,Main,241.39,Y,Y
515,892,Gun Pizza,Main,,Y,0
516,940,Affect Burger,Beverage,,Y,0
517,191,Pressure Thali,Dessert,133.23,Y,
518,341,Prevent Meal,Starter,402.11,1,N
519,610,Laugh Bowl,Main,462.41,1,0
520,389,Process Bowl,Dessert,232.25,0,1
521,931,Responsibility Meal,Dessert,517.28,0,N
522,26,Next Thali,Beverage,548.54,1,1
523,775,Police Pizza,Beverage,122.71,1,
524,395,Nor Burger,Starter,231.83,Y,
525,505,Window Meal,Beverage,187.94,1,1
526,381,Produce Thali,Dessert,182.15,0,0
527,814,Life Pizza,Dessert,480.96,1,Y
528,611,City Burger,Dessert,337.64,Y,Y
529,100,Just Pizza,Starter,435.24,Y,1
530,864,No Bowl,Dessert,253.16,1,1
531,934,Many Pizza,Main,412.9,1,0
532,526,Article Bowl,Beverage,414.85,N,N
533,704,Design Burger,Starter,93.81,1,
534,936,Western Bowl,Main,512.87,Y,0
535,621,Attorney Thali,Starter,215.42,Y,
536,849,Current Pizza,Main,409.9,0,N
537,25,Example Thali,Starter,191.46,1,Y
538,991,Prove Meal,Dessert,366.92,Y,0
539,709,Good Bowl,Main,112.01,0,Y
540,999,Hard Thali,Dessert,91.66,1,Y
541,59,Prepare Pizza,Beverage,466.68,1,N
542,900,Economic Burger,Dessert,97.41,Y,1
543,742,Financial Pizza,Starter,522.17,Y,
544,948,Enough Meal,Dessert,133.84,Y,0
545,326,White Meal,Beverage,249.95,0,Y
546,863,Attention Burger,Main,267.79,0,
547,556,Nothing Thali,Starter,311.63,0,1
548,342,Near Bowl,Beverage,155.74,1,1
549,99,Pressure Pizza,Starter,540.11,Y,1
550,614,Our Pizza,Beverage,291.24,1,0
551,127,Old Meal,Dessert,281.76,1,1
552,2,Quite Pizza,Starter,120.05,1,1
553,430,Like Burger,Dessert,316.47,N,N
554,928,Who Pizza,Beverage,207.78,Y,1
555,301,Experience Pizza,Starter,205.24,1,N
556,271,Book Burger,Starter,424.48,1,Y
557,748,Almost Burger,Starter,,1,N
558,557,Interesting Bowl,Beverage,200.35,0,1
559,27,Both Bowl,Dessert,444.08,1,1
560,853,Consider Burger,Beverage,567.72,1,Y
561,348,Research Meal,Dessert,254.8,Y,0
562,638,Defense Burger,Starter,300.57,0,1
563,496,Recently Pizza,Dessert,183.09,N,0
564,581,Religious Thali,Starter,358.07,1,N
565,177,Everybody Pizza,Dessert,279.66,0,1
566,320,Nothing Meal,Main,405.06,0,1
567,298,Level Bowl,Starter,268.71,Y,0
568,63,Realize Burger,Main,193.71,0,1
569,16,Ground Burger,Beverage,140.1,Y,Y
570,190,Today Bowl,Main,123.5,Y,Y
571,680,And Pizza,Beverage,552.34,N,1
572,966,Voice Burger,Beverage,423.51,N,
573,958,Save Meal,Beverage,418.26,0,Y
574,413,Father Burger,Main,429.37,1,0
575,357,Take Bowl,Dessert,88.02,N,N
576,172,Case Pizza,Starter,444.3,N,
577,27,Political Thali,Dessert,571.7,N,Y
578,49,Rock Pizza,Starter,422.24,1,1
579,68,Clear Bowl,Main,154.9,Y,0
580,132,Deep Meal,Starter,577.24,0,0
581,216,Huge Burger,Starter,477.26,0,1
582,417,Thank Bowl,Beverage,545.39,N,Y
583,695,Position Meal,Beverage,239.85,1,N
584,118,Home Meal,Dessert,138.24,1,1
585,121,Wish Bowl,Starter,272.44,0,
586,62,Style Burger,Dessert,555.02,N,1
587,187,Plant Bowl,Starter,289.22,Y,Y
588,817,Particularly Burger,Beverage,344.93,0,N
589,71,Woman Meal,Beverage,502.47,Y,1
590,532,Data Bowl,Main,428.43,1,N
591,542,Report Thali,Main,214.25,0,N
